Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
GH18	6	15	3	4	14	6	6	6	7	28	15	14	15			15	16	16	15		9	6	2	5	11	25	20	24	21	34	41	15	27	31	30	18		18		16	29	19			6	6	5	8	7	5	4	4		6	9	7	7	7	7	5	11	11	6	3	7	7	2	Glycoside Hydrolase Family 18
GH19																																								1																												Glycoside Hydrolase Family 19
GH20	2	3	2	2	3	1			2	5	2	3	3			4	3	4	3		2	3	2	1	2	2	2	2	3	1	1	2	1	5	5	2		3		2	6	2			2	2	2	2	2	3	2	2		2	2	2	2	2	2	2	2	2		1	1	1	3	Glycoside Hydrolase Family 20
GH23	1	2	1	1	1	2	5	6	1	2	1	1	3			1	1		2		2	2	1	2	3	1	1	1	1	1	1		1	2	2	1		1		2	2	1			2	1	2	2	2	1	2	2		2	2	2	2	2	2	1	1	4	2		1			Glycoside Hydrolase Family 23
GH24																																								1																												Glycoside Hydrolase Family 24
GH25																			1				1		1							1																												30								Glycoside Hydrolase Family 25
GH26	11	10	11	9	7	9	7	8	6	18	8	9	8			10	10	9	5		3	4	5	4	3	11	7	11	10	10	10	5	11	19	19	12		10		15	23	11			3	4	5	4	4	11	4	4		4	4	4	4	4	4	4	8	12	11	8	4	3	3	Glycoside Hydrolase Family 26
GH27		4			6	2				13	5	5	6			7	7	9					4			10	9	13	14	5	7	5	6	12	10	15		11		11	18	10																		2			1	1			1	Glycoside Hydrolase Family 27
GH28		3	2	4	1				4	6	2	2	1			3	3	1	1		6	1	3		1	1	2	2	1			4		1	2	1		2		2	2	1			1	2			1					1	1	1	1	1	1		1							Glycoside Hydrolase Family 28
GH29		2																														2																																				Glycoside Hydrolase Family 29
GH30					2																																																															Glycoside Hydrolase Family 30
GH30_5					2																																																															Glycoside Hydrolase Family 30 / Subf 5
GH31	1	5	3	1	2	1	1	1	2	9	3	6	3			5	3	4	2		2	1	1	2	2	2	2	2	3	5	9	3	7	3	3	3		5		4	6	3			1	1	1	1	1	1	1	1		1	1	1	1	1	1	2	2	2	1	2	1	1	1	Glycoside Hydrolase Family 31
GH32	1	2			4	1			1	10	3	3	3			3	4	3	1			1	1		1	2	2	2	2	2	2		2	3	4	2		2		2	4	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	3	1			1	1	1		Glycoside Hydrolase Family 32
GH35		2			1					2	1	1	1			1	2	1	1				1			1	1	1	2	2	1	2	5	2	2	1		1		1	2	1																		1				1			1	Glycoside Hydrolase Family 35
GH36	1	1	2	2	1	1	1	1	1	1	1	1	1			1	1	1	1		3	1	1	1		1	1	1	1	1	1	1	1		2	1		3		1	2	1				1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		Glycoside Hydrolase Family 36
GH37	1	2	1	1	3	2	1	1	1	7	4	4	2			5	3	4	1		1	2	2	1	1	2	2	2	2	2	2	2	2	4	4	3		3		2	4	2			1	1	1	1	1	2	1	1		1	1	1	1	1	1	2	1	1	2	3	1	1	2	Glycoside Hydrolase Family 37
